content,sentiment
mindtweets i agree waiting for a video to buffer then finding its just someone reading out loud which i could do faster in my head ,0
 and its ffa evil grin but im so busy at work today i wont get anything done,1
what am i doing drinking a shitload of water to get rid off me hangover then training at 9am,3
cloudconnected  wont be out until august but maybe someone really fast will xlate it lt3,0
ok just woke up and need to get ready before a day of getting twitterena 21 submitted,0
 out loud it helps cleanse your mind  pain nomore,3
feels all kinds of not so well right now,1
i am braid free  i miss thee  blond here i come,1
turn that into high score not high profile be a hero not a zero,3
michaeltao  i got one too but it was on a usb key without the fancy packaging,0
wow listening to guys give advice to their friends  ,3
did you know there are 26 states that allow cousins to marry but gay marriage isnt allowed ,3
bkii i have no choice  have to get on it,1
 is short live it  is rare grab it is bad dump it fear is awful face it memories are sweet cherish them,3
their songs make me want to cry,1
jenfidel thanks i decided to just give up on my old hq and go with this account scoundrels won,1
had some pliers blow up in my face today my mistake killed the wrong breaker wires connected on the pliers boom big chunk gone,1
summerkristine i want you to go walking with me but i still miss my satan,1
  we were at a sleepover and nobody stops me when theres a camera in my hand,0
fibroelo every person interprets pain differently prime example fibro people wfibro should know this   ,3
suzyqbee10 thatd be awesome i dont think ive ever been blogged about,2
hahaha just broke 4 picks from playing so hard school concertt,3
roqayah good morning,2
natburleson nope  husband is golfing amp tornado amp i are playing im so spoiled everyday esp last sunday tattoo ,2
my brother feels irritated,3
esatt you dont wanna see me while youre here,1
hey robluketic quotkeep clearquot   robluketic live gt ,2
deal or no deal is fucking wank such a shit and pointless program why the fuck is it even there ,3
happy mothers day,2
hilsatlvsonline thanks for the tip unfortunately a major crash in my  site just as extplorer,2
capemaybooks alright dont want you to overdue it now lol you are funny  nite nite,2
oy im such a nerdim writin 2 no1 cuz no1 is followin me  i mean lik sum1 was but their account was deleted due to quotstrange activitiesquot,1
shit no hes coming over too oh well i guess ,3
katie made me feel annoyed,3
parsnipzilla ohtays it all makes sense now cool,1
lorrieb5 did you see the 15 sec clip of the new moon trailer its up on etonlinecom check it out its a big tease though,0
shefinds great job,2
bigcitysomeone  i wish i could go see ya at warped for sure tho,1
is super tired,0
i dont believe theres anything worse than losing a best friend,0
pyroezra i know  i wish she would i just wanna cuddle and sleeep in ga and go to the world of coke,2
spent the last hour signing yearbooks ill miss you guys,1
i miss you,1
going to get some strawberries for the champagne tonight,2
jobondi awsome thanks jocant wait for her to be on  xx,2
hambers it means quotluv yaquot in zuluxhosa probably spelt it wrong lol cant b creative 2day tired  so translated,0
boo but will i listen,0
alicias tonight idkkkk ughhh,0
the conversation with alphonse was vexing,3
so im kinda pissed that boys like girls is gonna be at kentucky kingdom on a date i already have a show,1
the conversation with ebony was outrageous,3
my uncle told us all about the recent outrageous events,3
im gonna eat some chips anybody want some hahaha,0
off to finish the book quotnudgequot then going to write some,2
writeinink sure i can talkthe fabulous sex part though is out  sorry dear,1
chah101 haha hey well if you were in the elevator you should have said more,1
shame watching kourtney kardashian getting an oil enema  watching it all    ,3
watching one of my fav movies sparkle   go get food later,2
finally finished exams amp home not watch otalia amp the pbp on bpd  no otalia today  hmm via ,1
stomach cramps sat in bed with a hot water bottle having some hot milk amp toast i feel like a wi girl again  minus the stomach cramps,1
mitchelmusso is the album getting a uk release if not ill have to order it and pay a huge amount to get it shipped to the uk,1
my uncle told us all about the recent displeasing events,3
ahh  i just woke up  forgot to reset my alarm clock,0
the situation makes my wife feel angry,3
louisetynan they are worse than awful  cunts deserve to have their balls cut off ,3
ontd is our god,0
 rt quotmabuzaboon is the feeling that makes ur mouth work faster than ur mind evan esarquot,3
cant be arsed to get out of bed  hello sunshine,2
i made this girl feel irritated,3
anyone got any goss yet on the supernatural convention in birmingham been waiting patiently,0
its annoying when you were more confident single then you now are with your boyfriend ,3
lovekelsey shes not coming to detroit  only grand rapids in october,1
ztnewetnorb hha yeah  like they have your heart too but weve met shaun and bradie it seems more real ,2
jaymiealyson i mean give lol with a finger then crash her car lol jk thats bad just ignore her,1
happy mothers day to all the mommiies owt theaa amp ii think ii got thaa hang of thiis thiing yay,2
i dont think i will be able to get out of bed tomorrow morning  we will seeeee,0
says i miss plurking  ,0
jojowright   ooh nice score jojo,2
justyassy i did  i dont no,0
berkscub no sorry twitter sucks balls since the replys change  fixreplies,3
oh god bicycle accident just across the street from our house i think fatal cyclist died near same place 2 yrs ago we need bike lanes,0
ruis3rra ehhehehe thanks,0
katie found herself in an irritating situation,3
rnbguru bummer that means unless i do a youtube rip which i dont know how i cant have it,0
howied a to know little sweet d and leigh are doing goodthanks for the updates howie,2
going on 1116 days still no new tattoo,2
is working until 11 tonight  ,1
came out of my house this morning to the stink of cat poo i have cats doing their business in my little bit of garden,0
jason2008 well having to revise them  was to do some more gardening now i guess hoovering and some warcraft  not played in a week ,2
star wars day may the 4th be with you,2
simbaaa mahimaaa sorry i couldnt help it twas to try and get if on the trending topics,1
utterhip u r welcome pal  u truly deserve 2 be followed,2
needs a yummy breakfast after her shift,2
drinking some really nice coffee got to go to the dentist at 9am this morning,1
redeyechicago it made my skin crawl does sandusky want people to know hes guilty  ,3
cetras lol anyway ni shi wai guo ren,2
ep31 well twitter doesnt even work from my phone anymore,3
my tummy hurts,1
filmnerdjamie ive only seen star trek twice seeing quotupquot today but not in 3d since i was outvoted,2
nicole531   joe had the same shirt in the concer here in chilee hahaha big rob wasnt here,0
says space and time is all we need  ,0
kinahboo imma miss dem kobe nd bron commrcials wen cleveland get knocked out doe  they wer funny,2
hellenbach indeed i have hellen thought i better get a tog name rather than use my company name,0
im going through withdrawls  missing someone,0
kristin told us all about the recent vexing events,3
im in class right now  1 more week of school,0
i miss my baby  hateeeeee it,1
tillweoverdose people think im done because of my skin colour ,3
my degree  tear happy moment  ,2
i think the ups web site hates me now still no brewing supply package  held hostage at work by slow ups delivery,3
wishes that she has a private jet so that she can go see her bff  times like this ok okot really thinking of carbon footprint here,0
stop making assumptions about me when you dont even fucking know me  haha stupid bitches thanks for defending me matthew,3
kimmycakezz yes maam u do have a pretty smile but you also wont eat chipotle with me,1
the situation makes my sister feel angry,3
today is not lost,2
hmmm hes so lovely i wish he was here now im tired but cant sleep,1
my father told us all about the recent annoying events,3
jakpedz you should come out,2
people can act so  sometimes through their  and their mind becomes clouded,3
ryan made me feel angry,3
donniewahlberg and now i have to shut computer down and get ready to go home from workwhat a bummer,0
happy mothers day  ,2
im glad that all got cleared up  i lah you  idk why linda hates me though,1
my mum drives me fucking insane gt ,3
good morning and happy mothers day everyone,2
applecored what i do now  anyhoo thanks for the spank o x,0
id be happy thats its friday if i didnt have to work tomorrow  blah,3
ugh gone through 2 new phones and now my screen is black which means no texting,1
boywalt409 actually tear induced,0
thunderror  and that includes the chotachota stuff released by reflexie arcade too,0
munzee the 1424 is definitely going sold the 70200 and 200f2 is  too heavy  think ill get away with the 5085 twedding,0
as of today peekabo0 and i have been going out for two years best two years ever,2
mitchelmusso,0
trying to sleep but its too hot,0
akavirtualpa thanks anita i am looking for hosting i will look at them too,0
denybutterflies omg i am so sorry sorry i never know what to say,1
darrenruane hey its so funny  i stopped to get a coffee on the way in and spilt half of it in the car,0
for some dumb reason my dresser is sticky on top and for another reason a family history book got attached to it  now the back is jacked,3
just had the most emo moment too many tears love my family and sorors,1
back at home11 hours till work,0
serenajwilliams hi serena just want to say good luck in madrid and paris this month,2
transcribing my tenth and last report for the night,0
kristin made me feel annoyed,3
katiefreeze i miss you its lonely and empty without you  ,1
daughter has a 45 min orthodontist appt and i forgot my ebook reader,0
work work work,0
thewockeez im missin u guys by a day ill b there tomorrow  butttt see u june 18th with the blockkkkk,1
artnbooklife i heard about that too that seems an overreaction,0
old mes dead and gone,0
miraihl sounds like youre in for a great day  enjoy,2
i wanna do something tonight after work but i dunno what,0
lauramckay2009 sadly no sitting inside as mobile signal wont work in the garden   ill be opening the wine at bang on 5pm though,1
iankintzle come visit iowa k,0
that moment when fresh cooked cookies come out the over and they just start to harden ,3
hot wings cafe with willyum  mild spicy bbq curly fries delicious  ,1
drchino yay i too had some joy in that department,2
lamar told us all about the recent outrageous events,3
off to the gym by myself  no fun,1
im still thinking  idk,0
the conversation with my sister was annoying,3
carlosefonseca i can give you the contact of the person who makes those cheesecakes,0
chocoshabi im going to ask waldi i hope he makes a new keyword for me,3
mrsvaught happy birthday amber hope its a great oneand  youre far away from thirtyshhhyoure making us 29ers feel sad,2
ringqvist seriouslyit only gets sadder,1
damn internet keeps knocking me out i want to punch someone management stressed,3
niqa86 i miss you too mojokins i go there but not long enough to comment  will do more this weekend,1
happy monday  lots of little things to do today  tried to water plants out front very early in jammies got caught by two neighbors,2
melbrooke happy birthday month i only get a day but you deserve the whole month,3
azmomofmanyhats rocknrod gailelaine sarahstanley  good morning to you   its so pretty outside today,2
liked quoti quit smoking in september of last year after 40 years  i hope one day i wont miss it  snivel whinequot ,0
achurches why yes  a bag of goodies  lol,2
omds holly steel bless her  x,2
freyalynn dude fail  i know exactly where this place is too,1
cant believe i was on the verge of risking everything i worked so hard for,3
jjskidmore i was in front of u the other day i waved and u didnt  off to eddie izzard now,0
liquidtoffee no plans tonight ,0
workhomexpert nope rereading it all over again     no offense meant,0
justin feels enraged,3
savfortomorrow i thought i was doing pretty good i guess not bummer,1
back from lunch and i just remembered i have to join the daily recap with jb,0
just saw the toy story 3 trailer its about to get epic woody taking ls once again,0
work  britad yay,2
in desperate need of some tweets to cheer me up,1
my cameras being a doucheeee it stopped working,0
sorry just think  25 hrs till 2 days off,1
is moving out of nesbitt,0
wondering what misery looks like look at the faces of all the cubs fans at miller park tonite sorry chicago friends tonights our night,1
goodbye mountains  fb,0
purelynarcotic ohh twpp is falling silent  i was waiting to track ur us version next time maybe btw sunny california sounds good,2
ooo the way i can feel the creeping up my body ooo i guess i made my bed now i gotta lay in it n peak,3
joeyarceo yeah but no new material,1
sick to death of useless buses taking the actual piss with their pathetic attempts to stick to the timetable ,3
big shout out to all my home girls you know who you are,2
a message from songoftheoss could you let people know i have been booted off,1
the situation makes latoya feel enraged,3
its hella itchy  ,0
i dont wanna im to spanish today,0
i want some pineapple i miss my baby,1
this herniated disc sucks  im stuck mostly on my back when i could be out riding,3
penguinsnews go pens go gino wins it for the pens,2
els how was the game unfortunately teh cavs lost  im sure you had fun though,0
alphonse told us all about the recent displeasing events,3
i hate horrible atmospheres i pick them up so quick  kisskiss xxxxxxxxxx,3
ayawan i actually meant to type quotend of septemberquot but i was in the middle of a conversation with someone and i cant multitask,0
cant wait to study for an hour to get a c on a vocab quiz  ,3
jaidenkhat sadface,1
finally not talking about teachers but facilitators  edumedia09,0
sulking at home while it rained was poor strategy  now im watching the sun shine from a desk in the robarts reference room,1
betsy told us all about the recent vexing events,3
agreed rt durrtydiana boppin ass dingy ass triflin ass hoes me agreed,3
maggit  ill visit ny til september no diggnation for me,0
first time in weeks to see the clear blue sky,1
traceeellisross no not at all i miss girlfriends  i have all the seasons,1
makes me poor mistakes make me poorer books make me rich friends make me richer,3
bkksaluja but i think the choco diet is worse  cuz every time ur hungry ur only allowed to eat a tiiiny piece of chocolate d,0
blkademic im sorry to hear that sometimes family sucks,1
grreverytime he gets a new girlfriendim at the bottom of the totem pole,0
frankiero thats amazing quote indeedbtw have a nice weekend  ,2
that moment when you realized you left your bus pass on the ltc again  westernusc help a uwo kid out,3
this is my anthem right now dont leave me high and dry   ,2
i actually really liked merlin last night some parts were a bit eh but the part where that chick was singing was like whoa,0
the conversation with my daughter was displeasing,3
smartie999 thats me on a good day,1
atlumschema thank you need to pass my test first,0
mrgranger trouble is i dont think any of this is helping my wrists,1
not to mention hw fat ima get frm wrk n here,0
still cant figure this twitter thing out on my phone  i dont have the iphone,0
my brother made me feel annoyed,3
feeling bad for my little sister put a lot of money into her saab took full coverage off it last week and totalled it yesterday,1
ughhh this is the third bottle of foundation ive broken,1
my father feels angry,3
first sleep then spending the day with mom since its mothers day and all there might even be chinese,2
 is short live it  is rare grab it is bad dump it fear is awful face it memories are sweet cherish them,3
timmyness for cervical cancer i have to get 2 more,0
he made me feel irritated,3
julnas but then you might end up like that poor bus driver  and this is kinda weird but i wish i was there today o,1
im starving this diet is killing me but i cant eat after 8pm,1
gillianre  im not happy im emailin a complaint haha il hav 2listen again on sunday,1
rohanbabu i brought a buffalo 320gb for 3800it has the fastest transfer rate for a usb hddi benchmarked it at 34mbs on my comp,2
courtney feels angry,3
laurenyant which means i spend more time alone than with friends and family how sad,1
notbeaverhausen i want to hit that,3
andyroddick at work at the mo and its so sunny here today   off to see a band tonight,2
clumsysteph yeah school sucks totally yea you can be so grateful that you got a better place  man i cant tell you how excited i am hul,2
mickster09 you dont have to rub it in,1
the conversation with latoya was annoying,3
alphonse made me feel irritated,3
my sister made me feel irritated,3
katekisss  meebocom is a free thing amp it doesnt effect the comp thats what i use ,0
you can stop blasting your screamo music at the bus stop before i take your ipod and throw it in the road ,3
evanmcbroom im sure mayor brainard will be thrilled to hear that youre a fan,2
getting bored sitting at the hotel room the entire day,1
carelessme18 i sleep to try and ignore the   and botyled up inside mea me to but it haunts my dreams,3
adistakim i was going to hiddenfile it and youre thinking about youtube so nott lol hey put the phone down and more swimming,2
thought i was going to have a fun day,1
majayy what about me  i miss you too,1
its funny im kinda sad on my last day,1
home from work a few hours of sleep then putting some miles on the new bike,2
im sure the 5 ppl who came in after me will be seen by a dentist before i will,3
the situation makes this girl feel enraged,3
here we go again back to work happy mothers day to all  peace,0
darnell made me feel annoyed,3
school is so pointlesss seriously though 7 days of school left and all we do is watch movies and make powerpoints let me leaveeee,3
im cold  i still cant find my hoodie,1
i threw a tv in my boxers this morning haha i just thought about that ,3
i just bit my tongue  blood everywhere,1
i am sitting here taking a little break and trying to recharge so i can continue housework,0
the conversation with malik was displeasing,3
the day goes on and oni think im gonna write a song about it still thinking its impossible for me to get a true friend  why,1
guess im gonna try the nap thing again 2day but since my kids havent cooperated with it yet this week im sure 2day wont be different,1
emilyjonesmusic  a you,2
im working on working but its not working,0
doh rt samydhere so  get everything and those who choose not to be pay the price for not being assholes facepalm,3
im going to see sweeney todd on stage with my best friend for her bday today i know im going to be the one who sings along,2
  this day is soo stressful geee lunch was a blast tho how are you guys,3
apostropheme im a real boy goddamit guh apostro i feel sad the library lady thinks im stupid shes stupid  j,1
my sunglasses broke,1
had a lovely breakfast with mumyummy pancakes,2
use twitter quit life,1
mercadoasaria i dont know you but you made me lose,0
sorta needs to somehow forget that its e3 in la practically during my ethics exam and selfimposed revision time,1
it went really well but the vid didnt work  im sad,1
im up i have a plan to transform my bedroom today random,1
roborob ikr but i hate the lack of troyella  ggmow always makes me so sad,1
iamcheerbear i know  it fucking sucks anyway you can get a fake id or something,3
gotta go back out there,0
crying to a walk to remember as usual,0
jerome made me feel furious,3
sneezing frequently,0
yuniphan yay congratulations oh newly minted graduate youll have to let me buy you lunch and iced chocolates plural to celebrate,2
princeterrence terry terry terry i miss you,1
friday is not treating me well so far,1
rosellyanna she forgot her words and then started crying  and she stopped singing but then carried on and then cried again so she stopped,1
letting explosions in the sky express your pentup emotions only works for the first 38 hours hour 39  crap no paper in sight ,3
xxsteebiexx lol i know i wld like to get a reply from seann william scott but he dont reply  and hes one of my favourite actors,1
impalaguy im afraid yes  both are true  i hope u r not disappointed yet,0
nataliebrown thank you so much natalie hope u are well,2
just watched nightmare city  congratulations umberto lenzi high tension no longer has the shittiest plot twist ever ,3
subclub i was i took your advice and it was most enjoyable  i am too small to be out alone or i wouldve just come over lol,2
missy721 that is exactly how i feel right now,0
i was the blue  lol ,0
db0y8199 lol thats the kind im eating,0
i have to go clothes shopping tomorrow  i hate it but i have a serious quotclothes falling apartquot situation here,3
darnell feels annoyed,3
momofcande miss you,1
in accounting class  then detention after,1
terrence made me feel enraged,3
roxxy89 nah is next week honey ma fault for confusin u,0
dmann11 all those links on aicn are broken did they get slapped,0
its that time again,0
i have to manage my since people cant manage their stupidity,3
theres nothing more annoying than someone not replying to a text message ,3
damienestreich brought back memories mentioning the mixerof being pushed into angels deskwith full glass of beernot my faultdesk fd,0
pyroezra i know hella  i wish i could be how my mom was and just move across the usa,0
esmecullen8 i hate the rain laughs thanks smiles i miss her loads i couldnt stop crying before,3
my head feels sooooooooooo much better,2
almost done with my first day at the spai missed this place then headed to fort collins to close down casa de kent,2
sheiroq fuckyoumonday  i like it its a totally craptastic rainy day here  im off to work hugs,1
watching rugrats  anndd tweeting of course,2
allergies suck ducks nuts     lt88gt,1
tylerakira  ughhh have to go back there tonight,3
thinks coast capital sent her work number to telemarketers,0
just saw the new star trek movie it was so good zachary quinto is amazingggg,2
chrisreinhard screenshots cant give you any other kind of preview  youd need vpn access  ya wanna,0
really really misses her,1
the food here looks amazing our dessert is frozen grand marnier souffle of course we have to eat  the bar,2
proudly watching my film  ,2
its just one of those days where i feel like isolating myself from the entire worldsadness frustration,3
betsy feels annoyed,3
nita49 a big ginger and white male cat and a little female tortoiseshell both indoor cats and rule the house,2
i cant feel the weekend fever anymore when everyday is  a day off,0
coupleocachers trying to watch your vids but the audio has been disabled,1
ncremins thats not really fair i mean you just up and leave like that and you dont even give us a party  so when you coming back or  ,1
im so proud of my nau graduate friend were getting ready to celebrate  tonight itll be an international ordeal,2
finally finished my moms card took so long getting all the pictures it looks good though im happy amp cant wait til she sees it,2
yehey summer  so exciteeeddd balme it on the aaaaaalcohol,2
smoshian the pink straw also makes you manly,0
i want it to be wednesday already so i can hurry up and go to new zealand so im busy and not sitting here bored and stressing,0
is sooooo hungry right now shouldve eaten before this wedding,0
missmadalena err i think theyre like 15 bucks a ticket cause its 3d too too expensive,3
hemalradia hello palnice 2 c u todayhave a gr8 week,2
emmdeecee no he wasnt there today,0
no rosie day today  goal is to leav my house b4 my mom gets here hmmm maybe rosie day rescheduled forwed,1
foxyoxymoron i would have but supertarget didnt have any,0
is going home after an awesome time with the peeps,2
fanboyuk yeah but its myst,2
trying to plan a huge birthday party by myself,0
tiffers62 thanks 6 lbs in 3 weeks,0
watched prison break special such a sad ending,1
algibbs thanks for that now i learned something new today  enjoy,2
the situation makes alphonse feel furious,3
liverpoolmich funny you should mention that i have a full unopened jar of nesscaf on my cupboard but no milk,0
my wife made me feel enraged,3
getting ready for work,0
i tried to put a iron on  on my book bag and i burnt my bag with the iron lol buzz keep making fun of me   bastard lol,0
im calling your roommate,2
itscoldbreeze okay you cant say chipped after that youre officially dismissed from this convo after that statement ,3
janice7092001  i know  lol  ill grin and bear it,2
charlottehanlan i agree angry birds is exactly how it is described ,3
yay good way to end the night,2
hptwilighter im dying to read it  i hate england,3
ugh i hate not having my car i miss you my little ford focus,3
in the bus almost an hour late because of my crappy alarm clock  should be in leeuwarden at about 945,1
cant stop loosing  worst month results ever bubble two times in a row,1
that was reallly good,2
i was mad for no reason so now im mad that i was so mad before ,3
dapass   is what i get when i try to add a new post,0
good show sleepytime goodnight moon,2
mrsgizara  we are at fort belvoir on base  hubs is stationed at the pentagon  i cant wait for pug pups  i just looooove mine,2
amanda made me feel furious,3
stephaniemxx just got back amp saw yr tweet its 730pm  monday here  mayday public holiday,0
malik made me feel enraged,3
looks like were rained out for weekend climbing,1
aimeelady the girls there last night would have let her and i figure the boys would have enjoyed watching,2
just got home let us all be connected with god constantly,1
i made my uncle feel enraged,3
continuo tentando trocar o background do twitterover capacity,0
just finished watching the series return of the chasers war on everything  really quite crap compared to how it used to be,1
samanthad nothing wrong with that samantha,0
i made ebony feel angry,3
cleaning time soon,0
has today off but has to work tomorrow,1
iballlikenike a woman worth some effort is certainly worth the efforti think yu lookin for lol,3
its andreamichellefs birthday today wish her a good one assholes sleepytime,2
i made my aunt feel angry,3
i was waitin so many new and good songs about the end but i didnt like it so much,3
goin to bed finally so sleepy happy mothers day,2
hate having a lack of friends if someone doesnt take me to see mann tonight i may go a litle crazy issues,3
hoiitschanel i love you your crazylmao and he is such a effin liar and now hes getting in my nerves ps not justinlt3,3
queenchinab he seemed all happy about it,2
andrewgreer  i did that once,0
aww anyone see hollie steel on bgt tonight wharra shame,1
getting emilie in half an hour should get up have a nice day all talk later i hope,2
tomfelton haha whats it like looking back on work or fun as im sure it was,2
nichelle feels irritated,3
heeey heeey   about to go read,2
ukrainiac yea i was just about to say something  its great to hear ukrainian,2
smoking advert is fucking sick the money spent on it could be spent on saving lives instead of telling me how to live mine fuck up ,3
i made melanie feel irritated,3
coldso cold fuck,3
jassmiinneee going thru that 2nd second stage of grief eh ,3
puddynface2 i just heard from brendan dj that there isnt a party on the boat this weekend,0
isapersefone d well if you got that dvd then you should get those books too,2
lozzyx noice i realised that after exams i have 2 more weeks  forgot about the whole 2 weeks of unit 4 in term 2 thing ,1
nickiminaj nicklaus  im mad i missed you out in va last night i was gonna snatch you up and make you wifey 2009 is minee,1
trying to get used to twitter i have a cold,3
rec gametrying not to crythe pain is to muchi need himcant lose him lt3my heart is breakingg,1
right anyone know what episode of bones is showing on sky2 tonight at 9pm  programme synopsis is not available on my box,0
jasmine made me feel annoyed,3
spencerkeasey yeah doesnt that suck  i am working with a nano here so i had to take 75 of my music off  so sad,1
zirconcode i like how the binary code under your name says zirconcode as well xd its looking very nice better than before,0
bayareabites my best vanilla in memory was from the sharffenberger factory gift shop not sure where to get it now,0
hey u forgot me,0
lilmarshmellow  thanx,0
just got a follow from lindsey5054 yep its spam damn twitter traffic machine,3
currenyspitta was caught in traffic around the howlin wolf for about 30mins i was wondering wth was going onmusta been nice,1
going home to get clothes,0
amanda feels irritated,3
guess ill be holding onto my damage surveys from now on and people can kiss my assor be an asshole and ask for authorship ,3
my to do list is bananas before i leave for europe boooo,0
tomhowarth hehehehe i will keep silent now,2
texting my friends and being bored   gosh i hate rain,3
the situation makes my uncle feel annoyed,3
fuck snow i hate it ,3
this woman feels irritated,3
nicsey 3000 then ya up with me my friend  i type too much,0
has a head cold,1
diilee break a leg  but dont do it for real it just a saying p quot good luckquot,0
because of a conversation i had with  i want to tackle the subject of ,3
naomijlea good job i have the track in my head cos sadly cant access it boo,2
had a dream i brought mandykmusic and keat to kings island it was pretty sweet bummed theyre in poughkeepsie 24 hours before me,0
ninjen really enjoying drown in my own tears,2
dont wanna work tonight,1
chicagogirl gotcha  my place is atlantic side  better for surfing   plus i like to be close to the crazy foreign restaurants mmm fl,2
knownhuman damn  thats sad then i havent heard the new one yet sounds like ive been spared a tragedy,1
westerfield i picked up a taco over lunch you got a guitar,0
time for a clean up,0
3wordsaftersex i havent started,0
just cross cause im stuck twiddling my thumbs now ugh,1
nancy just got your tweets that sucks my love,1
faeriedtreasure  i used to live by the ocean i shoulda gone to the beach more often,0
family comes probably wont be on this weekend,1
emzo2k9 miss u m8   we need tae have a catch up n that,1
life sucks if ur not having fun,1
now i feel really really badsorry,1
im on relapse  mom and dad i need you jesus fucking christ you stay away,1
waitin for the man to get home so he can take me out  been waitin 4 hours,0
katecameron2002 oh same here cant believe they killed him off  hate stringer now,3
shhhweeeetjayz bros back from from prom,2
susiecheng we all need that simple reminderthx,2
senior ball was hella fun  good night,2
todays the day twitterlandhouse closing begin at 11 and we should get to start moving in  3 into the new place,2
vinnipukh ill give him a hug when i see him  tell him i say hi,2
sunburn hurts,1
screw you davidbrussee i only have 3 weeks,0
kmaco214 hes probably in beddepends on what aide he has today,1
i just got a call from my chimp buddies want to join the party loads to prepare now wow this is great cup of tea first i think erm,2
emozaboo its ok it just hurts abit i thought i was doing a good job if i was rude to people i could understand  x,1
thinking lots of revision tomorrow  woo hope it a sunny one,0
all of a sudden im craving broccoli and cheese soup really bad my mouth is watering envisioning a bread bowl in my head,0
katrinasummer dude i hear ya ill be 26 two weeks from tomorrow i feel old,1
i know i was wrong maybe i shouldnt did all of those fuckin things like that,3
may gray coldplay and nice showerswork at 2,0
just snapped his metronome in half with his bare handsoops issues,3
second stage of lossso screw you bitch for making my life miserable  does that suffice  ,3
well twitts i was waiting on a response from dawnrichard but shes out partying and having a good timeso maybe some other day,1
the fine old british tradition of chilly grey drizzle on a bank holiday is still observed,0
wow the new google icons suck   ,0
girls who stripped for tyga take part in nashvilles wet tshirt contest are up on the site isanyoneuppure trash ,3
gjerninger are you sure you want to know  its   it makes me want to run in other news happy star wars day,1
justinbazan maybe because you got in 4 hours ago from an awesome night nah that cant be it,2
cohenster i know its awful  but never fear ive got loads of funds so we can have a drunken catch up postexams ja,1
home from marble falls back to reality,1
godawful hangover today worth it tho,0
bellothika  the flowers grow,2
friday night and still workingoh waitits saturday morning already,3
my new beast pc was almost up and running then the amp fucked itself  ,3
